2020/08/19 13:31:54.854 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 15:44:47.190 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 15:45:43.756 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 15:45:43.756 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 15:46:45.866 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 15:46:45.866 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 15:51:16.886 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 15:51:16.886 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 15:51:19.654 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 15:51:19.654 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 15:51:58.592 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 15:51:58.592 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 15:52:07.400 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 15:52:07.400 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 15:52:12.426 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 15:52:12.426 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 15:52:21.229 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 15:52:21.229 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 15:52:52.324 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 15:52:52.324 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 15:53:07.542 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 15:53:07.542 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 15:53:12.142 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 15:53:12.143 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 15:53:42.316 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 15:53:42.316 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 15:54:29.342 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 15:54:29.342 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 15:56:52.629 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 15:56:52.629 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 15:57:50.688 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 15:57:50.688 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 15:58:08.571 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 15:58:08.571 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 15:58:19.367 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 15:58:19.367 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 15:59:09.030 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 15:59:09.030 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 15:59:37.959 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 15:59:37.959 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 16:09:18.430 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 16:09:18.430 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 16:10:05.419 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 16:10:05.419 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 16:10:10.518 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 16:10:10.518 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 16:10:22.416 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 16:10:22.416 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 16:13:57.352 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 16:13:57.352 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 16:13:59.754 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 16:13:59.754 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 16:32:43.854 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 16:32:43.854 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 16:32:55.166 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 16:32:55.166 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 16:35:58.422 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 16:35:58.422 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 16:36:49.046 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 16:36:49.047 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 16:37:48.463 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 16:37:48.463 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 16:37:54.403 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 16:37:54.403 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 16:38:02.985 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 16:38:02.985 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 16:39:15.503 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 16:39:15.503 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 16:40:06.394 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 16:40:06.394 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 16:41:30.111 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 16:41:30.111 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 16:41:37.995 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 16:41:37.995 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 16:44:54.607 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 16:44:54.607 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 16:45:22.441 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 16:45:22.441 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 16:45:32.002 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 16:45:32.002 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 16:45:38.931 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 16:45:38.931 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 16:45:46.011 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 16:45:46.012 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 16:46:01.840 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 16:46:01.840 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 16:46:05.777 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 16:46:05.777 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 16:48:09.552 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 16:48:09.552 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 16:48:15.150 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 16:48:15.150 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 16:48:30.107 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 16:48:30.107 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 17:00:08.464 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 17:00:08.464 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 17:01:00.517 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 17:01:00.517 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 17:04:23.989 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 17:04:23.989 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 17:11:26.061 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 17:11:26.062 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 17:14:10.293 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 17:14:10.293 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 17:23:45.486 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 17:23:45.486 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 17:35:55.884 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 17:35:55.884 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 17:36:02.454 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 17:36:02.454 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 17:36:05.577 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 17:36:05.578 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 17:36:11.980 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 17:36:11.980 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 17:36:56.941 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 17:36:56.941 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 17:37:05.226 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 17:37:05.226 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 17:38:33.883 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 17:38:33.884 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 17:38:39.888 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 17:38:39.888 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 19:18:06.015 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 19:18:06.015 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 19:19:53.748 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 19:19:53.750 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 19:20:01.433 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 19:20:01.433 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 19:20:17.347 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 19:20:17.347 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 19:20:19.635 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 19:20:19.635 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 19:21:45.632 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 19:21:45.633 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 19:21:53.348 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 19:21:53.348 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 20:01:37.016 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 20:01:37.016 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 20:02:09.299 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 20:02:09.299 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 20:02:20.930 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 20:02:20.930 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 20:02:43.675 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 20:02:43.675 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 20:26:09.129 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 20:26:09.129 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 20:59:17.482 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 20:59:17.482 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 21:01:38.917 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 21:01:38.917 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 21:01:42.670 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 21:01:42.670 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 21:02:01.431 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 21:02:01.431 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 21:14:11.524 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 21:14:11.525 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 21:14:14.194 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 21:14:14.194 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 21:28:15.510 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 21:28:15.510 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 21:28:26.825 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 21:28:26.825 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 21:28:29.846 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 21:28:29.846 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 21:29:19.254 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 21:29:19.254 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 21:30:01.920 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 21:30:01.920 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 21:33:11.446 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 21:33:11.446 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 21:33:21.931 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 21:33:21.931 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 21:33:24.716 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 21:33:24.716 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 21:43:07.164 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 21:43:07.165 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 21:43:30.962 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 21:43:30.962 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 21:43:35.396 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 21:43:35.396 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 21:44:17.768 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 21:44:17.768 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 21:44:26.857 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 21:44:26.857 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 21:45:04.626 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 21:45:04.627 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 21:45:11.239 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 21:45:11.239 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 21:46:05.918 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 21:46:05.918 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 21:46:24.824 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 21:46:24.824 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 21:46:53.813 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 21:46:53.814 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 21:47:02.255 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 21:47:02.258 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 21:47:04.718 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 21:47:04.718 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 21:48:16.540 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 21:48:16.540 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 21:50:53.350 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 21:50:53.352 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 21:51:00.681 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 21:51:00.681 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 21:51:04.819 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 21:51:04.819 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 21:51:15.117 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 21:51:15.117 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 21:59:16.180 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 21:59:16.180 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 22:02:15.931 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 22:02:15.932 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 22:02:22.237 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 22:02:22.237 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 22:03:26.293 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 22:03:26.293 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 22:08:54.860 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 22:08:54.861 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 22:09:05.044 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 22:09:05.044 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 22:09:29.140 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 22:09:29.143 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 22:09:38.735 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 22:09:38.735 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 22:10:35.654 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 22:10:35.654 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 22:11:05.543 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 22:11:05.543 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 22:11:27.165 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 22:11:27.165 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 22:14:43.995 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 22:14:43.995 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 22:15:27.828 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 22:15:27.828 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 22:15:58.591 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 22:15:58.591 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 22:16:02.989 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 22:16:02.989 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 22:18:27.666 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 22:18:27.666 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 22:19:39.675 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 22:19:39.675 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 22:19:58.879 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 22:19:58.879 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 22:25:29.789 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 22:25:29.789 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 22:26:07.089 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 22:26:07.089 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 22:50:06.116 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/20 22:50:06.116 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/20 22:50:08.503 [E]  Connect to the redis host 127.0.0.1:6379 failed
